"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"PNRPMNRS-SSDPSrv-In-UDP";"Service d’inscription de nom d’ordinateur Espace de collaboration Windows (SSDP-In)";"Règle de trafic entrant pour que le service d’inscription de nom d’ordinateur Espace de collaboration Windows autorise l’utilisation du protocole SSDP (Simple Service Discovery Protocol). [UDP 1900]";"@FirewallAPI.dll,-34002";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"1900";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"Ssdpsrv";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PNRPMNRS-SSDPSrv-Out-UDP";"Service d’inscription de nom d’ordinateur Espace de collaboration Windows (SSDP-Out)";"Règle de trafic sortant pour que le service d’inscription de nom d’ordinateur Espace de collaboration Windows autorise l’utilisation du protocole SSDP (Simple Service Discovery Protocol). [UDP 1900]";"@FirewallAPI.dll,-34002";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"Any";"1900";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"Ssdpsrv";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CDPSvc-In-UDP";"Plateforme d’appareils connectés (UDP-entrant)";"Règle de trafic entrant pour le trafic de la plateforme d’appareils connectés [UDP]";"@FirewallAPI.dll,-37402";"True";"Domain, Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"CDPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CDPSvc-Out-UDP";"Plateforme d’appareils connectés (UDP-sortant)";"Règle de trafic sortant pour le trafic de la plateforme d’appareils connectés [UDP]";"@FirewallAPI.dll,-37402";"True";"Domain, Private";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"CDPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CDPSvc-In-TCP";"Plateforme d’appareils connectés (TCP-entrant)";"Règle de trafic entrant pour le trafic de la plateforme d’appareils connectés [TCP]";"@FirewallAPI.dll,-37402";"True";"Domain, Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"CDPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CDPSvc-Out-TCP";"Plateforme d’appareils connectés (TCP-sortant)";"Règle de trafic sortant pour le trafic de la plateforme d’appareils connectés [TCP]";"@FirewallAPI.dll,-37402";"True";"Domain, Private";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"CDPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CDPSvc-WFD-In-TCP";"Plateforme d’appareils connectés - Transport Wi-Fi Direct (TCP-entrant)";"Règle de trafic entrant permettant d'utiliser le trafic Wi-Fi Direct dans la plateforme d’appareils connectés [TCP]";"@FirewallAPI.dll,-37402";"True";"Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";;"%SystemRoot%\system32\svchost.exe";;"CDPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CDPSvc-WFD-Out-TCP";"Plateforme d’appareils connectés - Transport Wi-Fi Direct (TCP-sortant)";"Règle de trafic sortant permettant d'utiliser le trafic Wi-Fi Direct dans la plateforme d’appareils connectés [TCP]";"@FirewallAPI.dll,-37402";"True";"Public";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"Any";"Any";;"%SystemRoot%\system32\svchost.exe";;"CDPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-DU-In";"Gestion réseau de base - Destination inaccessible (ICMPv6 entrant)";"Les messages d’erreur Destination inaccessible sont envoyés par tout nœud traversé par un paquet, qui est incapable d’acheminer le paquet pour toute raison à l’exclusion de problème de congestion du réseau.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"1";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-PTB-In";"Réseau de base - Paquet trop important (ICMPv6 entrant)";"Les messages d’erreur Paquet trop volumineux sont envoyés à partir d’un nœud traversé par un paquet et incapable de transférer le paquet car ce dernier est trop volumineux pour le lien suivant.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"2";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-PTB-Out";"Réseau de base - Paquet trop important (ICMPv6 sortant)";"Les messages d’erreur Paquet trop volumineux sont envoyés à partir d’un nœud traversé par un paquet et incapable de transférer le paquet car ce dernier est trop volumineux pour le lien suivant.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"2";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-TE-In";"Gestion réseau de base - temps dépassé (ICMPv6 entrant)";"Les messages d’erreur Temps dépassé sont générés par un nœud que le paquet traverse si la valeur du champ Limite étape est décrémentée jusqu’à zéro à un point quelconque sur le chemin d’accès.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"3";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-TE-Out";"Gestion réseau de base - temps dépassé (ICMPv6 sortant)";"Les messages d’erreur Temps dépassé sont générés par un nœud que le paquet traverse si la valeur du champ Limite étape est décrémentée jusqu’à zéro à un point quelconque sur le chemin d’accès.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"3";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-PP-In";"Gestion réseau de base - problème de paramètres (ICMPv6 entrant)";"Les messages d’erreur Problème de paramètre sont envoyés par les nœuds suite à des paquets qui n’ont pas été correctement générés.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"4";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-PP-Out";"Gestion réseau de base - problème de paramètres (ICMPv6 sortant)";"Les messages d’erreur Problème de paramètre sont envoyés par les nœuds suite à des paquets qui n’ont pas été correctement générés.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"4";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-NDS-In";"Réseau de base - Sollicitation de découverte de voisin (ICMPv6 entrant)";"Les sollicitations de découverte de voisin sont envoyées par des nœuds pour découvrir l’adresse de couche de liaison d’un autre nœud IPv6 on-link.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"135";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-NDS-Out";"Réseau de base - Sollicitation de découverte de voisin (ICMPv6 sortant)";"Les sollicitations de découverte de voisin sont envoyées par des nœuds pour découvrir l’adresse de couche de liaison d’un autre nœud IPv6 on-link.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"135";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-NDA-In";"Réseau de base - Publication de découverte de voisin (ICMPv6 entrant)";"Les messages Publication de découverte de voisin sont envoyés par des nœuds pour notifier les autres nœuds de modifications d’adresse de couche de liaison ou en réponse à une demande Sollicitation de découverte de voisin.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"136";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-NDA-Out";"Réseau de base - Publication de découverte de voisin (ICMPv6 sortant)";"Les messages Publication de découverte de voisin sont envoyés par des nœuds pour notifier les autres nœuds de modifications d’adresse de couche de liaison ou en réponse à une demande Sollicitation de découverte de voisin.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"136";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RA-In";"Réseau de base - Publication de routage (ICMPv6 entrant)";"Les messages de publication de routeur sont envoyés par des routeurs à d’autres nœuds pour appliquer une configuration automatique sans état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"fe80::/64";"ICMPv6";"RPC";"Any";"134";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RA-Out";"Réseau de base - Publication de routage (ICMPv6 sortant)";"Les messages de publication de routeur sont envoyés par des routeurs à d’autres nœuds pour appliquer une configuration automatique sans état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"fe80::/64";"LocalSubnet6,ff02::1,fe80::/64";"ICMPv6";"RPC";"Any";"134";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RS-In";"Réseau de base - Sollicitation de routeur (ICMPv6-Entrant)";"Les messages Sollicitation de routeur sont envoyés par des nœuds qui recherchent des routeurs pour fournir une configuration automatique sans état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"133";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RS-Out";"Réseau de base - Sollicitation des routeurs (ICMPv6 sortant)";"Les messages Sollicitation de routeur sont envoyés par des nœuds qui recherchent des routeurs pour fournir une configuration automatique sans état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6,ff02::2,fe80::/64";"ICMPv6";"RPC";"Any";"133";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LQ-In";"Réseau de base - Requête d’écouteur de multidiffusion (ICMPv6 entrant)";"Un routeur de multidiffusion IPv6 utilise le message Requête d’écouteur de multidiffusion pour interroger un lien quant à l’appartenance aux groupes de multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"130";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LQ-Out";"Réseau de base - Requête d’écouteur de multidiffusion (ICMPv6 sortant)";"Un routeur de multidiffusion IPv6 utilise le message Requête d’écouteur de multidiffusion pour interroger un lien quant à l’appartenance aux groupes de multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"130";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LR-In";"Réseau de base - Rapport d’écouteur de multidiffusion (ICMPv6 entrant)";"Le message Rapport d’écouteur de multidiffusion est utilisé par un nœud à l’écoute pour signaler immédiatement son intérêt pour la réception du trafic de multidiffusion à une adresse de multidiffusion spécifique ou en réponse à une Requête d’écouteur de multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"131";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LR-Out";"Réseau de base - Rapport d’écouteur de multidiffusion (ICMPv6 sortant)";"Le message Rapport d’écouteur de multidiffusion est utilisé par un nœud à l’écoute pour signaler immédiatement son intérêt pour la réception du trafic de multidiffusion à une adresse de multidiffusion spécifique ou en réponse à une Requête d’écouteur de multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"131";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LR2-In";"Réseau de base - Rapport d’écouteur de multidiffusion v2 (ICMPv6 entrant)";"Le message Rapport de l’écouteur multidiffusion v2 est utilisé par un nœud d’écoute pour signaler immédiatement son intérêt dans la réception de trafic multidiffusion à une adresse de multidiffusion spécifique ou en réponse à une demande d’un écouteur multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"143";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LR2-Out";"Réseau de base - Rapport d’écouteur de multidiffusion v2 (ICMPv6 sortant)";"Le message Rapport de l’écouteur multidiffusion v2 est utilisé par un nœud d’écoute pour signaler immédiatement son intérêt dans la réception de trafic multidiffusion à une adresse de multidiffusion spécifique ou en réponse à une demande d’un écouteur multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"143";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LD-In";"Réseau de base - Écouteur de multidiffusion terminé (ICMPv6 entrant)";"Les messages Écouteur multidiffusion terminé informent les routeurs locaux qu’il ne reste aucun membre pour une adresse de multidiffusion spécifique sur le sous-réseau.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"132";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LD-Out";"Réseau de base - Écouteur de multidiffusion terminé (ICMPv6 sortant)";"Les messages Écouteur multidiffusion terminé informent les routeurs locaux qu’il ne reste aucun membre pour une adresse de multidiffusion spécifique sur le sous-réseau.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"132";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP4-DUFRAG-In";"Gestion réseau de base - Destination inaccessible Fragmentation nécessaire (Trafic entrant ICMPv4)";"Les messages d'erreur Destination inaccessible Fragmentation requise sont envoyés à partir des nœuds qu'un paquet traverse et qui ne peuvent pas transmettre le paquet, car une fragmentation était nécessaire et l'octet ne pas fragmenter était défini.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"3:4";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IGMP-In";"Gestion réseau de base - Internet Group Management Protocol (Trafic entrant IGMP)";"Les messages IGMP sont envoyés et reçus par les nœuds pour créer, joindre et séparer des groupes de multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"2";"Any";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IGMP-Out";"Gestion réseau de base - Internet Group Management Protocol (Trafic sortant IGMP)";"Les messages IGMP sont envoyés et reçus par les nœuds pour créer, joindre et séparer des groupes de multidiffusion.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"2";"Any";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCP-In";"Réseau de base - Protocole DHCP (DHCP-In)";"Autorise les messages DHCP (Dynamic Host Configuration Protocol) pour la configuration automatique avec état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"68";"67";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCP-Out";"Réseau de base - Protocole DHCP (DHCP-Sortie)";"Autorise les messages DHCP (Dynamic Host Configuration Protocol) pour la configuration automatique avec état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"68";"67";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCPV6-In";"Réseau de base - Protocole DHCP pour IPv6 (DHCPV6-In)";"Autorise les messages DHCPV6 (Dynamic Host Configuration Protocol pour IPv6) pour la configuration avec et sans état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"546";"547";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCPV6-Out";"Réseau de base - Protocole DHCP pour IPv6 (DHCPV6-Out)";"Autorise les messages DHCPV6 (Dynamic Host Configuration Protocol pour IPv6) pour la configuration avec et sans état.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"546";"547";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-Teredo-In";"Gestion réseau de base - Teredo (Trafic entrant UDP)";"Règle de trafic UDP entrant qui autorise la traversée latérale Teredo, une technologie qui permet l’affectation d’adresses et la tunnelisation automatique du trafic IPv6 monodiffusion lorsqu’un hôte IPv6/IPv4 se trouve derrière un traducteur d’adresses réseau.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Teredo";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"iphlpsvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-Teredo-Out";"Gestion réseau de base - Teredo (Trafic sortant UDP)";"Règle de trafic UDP sortant qui autorise la traversée latérale Teredo, une technologie qui permet l’affectation d’adresse et la tunnelisation automatique du trafic IPv6 monodiffusion lorsqu’un hôte IPv6/IPv4 se trouve derrière un traducteur d’adresses réseau IPv4.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"iphlpsvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IPHTTPS-In";"Réseau de base - IPHTTPS (TCP-Entrant)";"Règle TCP de trafic entrant autorisant la technologie de tunneling IPHTTPS à assurer la connectivité des serveurs proxy et pare-feu HTTP.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"IPHTTPSIn";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IPHTTPS-Out";"Réseau de base - IPHTTPS (TCP-Sortant)";"Règle TCP de trafic sortant autorisant la technologie de tunneling IPHTTPS à assurer la connectivité des serveurs proxy et pare-feu HTTP.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"Any";"IPHTTPSOut";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"iphlpsvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IPv6-In";"Gestion réseau de base - IPv6 (Trafic entrant IPv6)";"Règle de trafic entrant requise pour autoriser le trafic IPv6 pour les services de tunneling ISATAP (protocole d’adressage tunnel intra-site) et 6to4.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"41";"Any";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IPv6-Out";"Gestion réseau de base - IPv6 (Trafic sortant IPv6)";"Règle de trafic sortant requise pour autoriser le trafic IPv6 pour les services de tunneling ISATAP (protocole d’adressage tunnel intra-site) et 6to4.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";;"Any";"Any";"41";"Any";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
